h1 ping -c100 h3
PING 10.0.0.3 (10.0.0.3) 56(84) bytes of data.
64 bytes from 10.0.0.3: icmp_req=63 ttl=64 time=45.3 ms
64 bytes from 10.0.0.3: icmp_req=64 ttl=64 time=9.70 ms
64 bytes from 10.0.0.3: icmp_req=65 ttl=64 time=24.5 ms
64 bytes from 10.0.0.3: icmp_req=66 ttl=64 time=25.0 ms
64 bytes from 10.0.0.3: icmp_req=67 ttl=64 time=24.8 ms
64 bytes from 10.0.0.3: icmp_req=68 ttl=64 time=24.9 ms
64 bytes from 10.0.0.3: icmp_req=69 ttl=64 time=46.7 ms
64 bytes from 10.0.0.3: icmp_req=70 ttl=64 time=11.6 ms
64 bytes from 10.0.0.3: icmp_req=71 ttl=64 time=25.9 ms
64 bytes from 10.0.0.3: icmp_req=72 ttl=64 time=46.8 ms
64 bytes from 10.0.0.3: icmp_req=73 ttl=64 time=25.4 ms
64 bytes from 10.0.0.3: icmp_req=74 ttl=64 time=46.4 ms
64 bytes from 10.0.0.3: icmp_req=75 ttl=64 time=7.71 ms
64 bytes from 10.0.0.3: icmp_req=76 ttl=64 time=8.66 ms
64 bytes from 10.0.0.3: icmp_req=77 ttl=64 time=59.0 ms
64 bytes from 10.0.0.3: icmp_req=78 ttl=64 time=20.9 ms
64 bytes from 10.0.0.3: icmp_req=79 ttl=64 time=53.2 ms
64 bytes from 10.0.0.3: icmp_req=80 ttl=64 time=14.9 ms
64 bytes from 10.0.0.3: icmp_req=81 ttl=64 time=28.2 ms
64 bytes from 10.0.0.3: icmp_req=82 ttl=64 time=43.4 ms
64 bytes from 10.0.0.3: icmp_req=83 ttl=64 time=55.5 ms
64 bytes from 10.0.0.3: icmp_req=84 ttl=64 time=40.5 ms
64 bytes from 10.0.0.3: icmp_req=85 ttl=64 time=6.89 ms
64 bytes from 10.0.0.3: icmp_req=86 ttl=64 time=7.82 ms
64 bytes from 10.0.0.3: icmp_req=87 ttl=64 time=7.07 ms
64 bytes from 10.0.0.3: icmp_req=88 ttl=64 time=52.1 ms
64 bytes from 10.0.0.3: icmp_req=89 ttl=64 time=10.7 ms
64 bytes from 10.0.0.3: icmp_req=90 ttl=64 time=28.7 ms
64 bytes from 10.0.0.3: icmp_req=91 ttl=64 time=43.2 ms
64 bytes from 10.0.0.3: icmp_req=92 ttl=64 time=12.7 ms
64 bytes from 10.0.0.3: icmp_req=93 ttl=64 time=8.03 ms
64 bytes from 10.0.0.3: icmp_req=94 ttl=64 time=19.6 ms
64 bytes from 10.0.0.3: icmp_req=95 ttl=64 time=19.9 ms
64 bytes from 10.0.0.3: icmp_req=96 ttl=64 time=28.6 ms
64 bytes from 10.0.0.3: icmp_req=97 ttl=64 time=30.0 ms
64 bytes from 10.0.0.3: icmp_req=98 ttl=64 time=8.31 ms
64 bytes from 10.0.0.3: icmp_req=99 ttl=64 time=22.3 ms
64 bytes from 10.0.0.3: icmp_req=100 ttl=64 time=8.10 ms

